Symbol,Date,Time,Close,Open,High,Low,Volume,Amount,MatchItem,Interest
SZ002592,20150526,93000,47.27,46.7,47.57,46.7,82800,3884516,95,0
SZ002592,20150526,93100,47.84,47.27,47.99,47.27,36200,1725229,52,0
SZ002592,20150526,93200,47.9,47.7,47.9,47.7,56228,2686294,61,0
SZ002592,20150526,93300,47.9,47.9,47.99,47.9,60700,2909695,51,0
SZ002592,20150526,93400,48.0,47.98,48.0,47.9,96500,4629509,65,0
SZ002592,20150526,93500,48.25,47.99,48.25,47.99,24100,1157617,38,0
SZ002592,20150526,93600,48.15,48.28,48.28,48.03,97400,4694037,72,0
SZ002592,20150526,93700,47.98,47.99,48.15,47.98,162000,7781744,76,0
SZ002592,20150526,93800,47.82,47.98,47.99,47.82,65500,3139650,50,0
SZ002592,20150526,93900,47.72,47.82,47.9,47.72,60000,2866486,35,0
SZ002592,20150526,94000,47.75,47.72,47.75,47.7,47100,2248167,43,0
SZ002592,20150526,94100,47.9,47.75,47.9,47.75,52700,2518772,31,0
SZ002592,20150526,94200,47.8,47.98,48.11,47.8,64800,3105123,26,0
SZ002592,20150526,94300,47.98,47.98,48.18,47.98,135800,6528315,62,0
SZ002592,20150526,94400,48.3,47.98,48.4,47.98,65900,3179390,41,0
SZ002592,20150526,94500,48.29,48.3,48.5,48.29,47500,2296539,41,0
SZ002592,20150526,94600,48.17,48.29,48.29,48.17,43550,2099325,31,0
SZ002592,20150526,94700,48.18,48.17,48.2,48.15,60500,2914464,30,0
SZ002592,20150526,94800,48.19,48.2,48.33,48.17,67800,3270082,38,0
SZ002592,20150526,94900,48.21,48.19,48.28,48.12,16903,814543,9,0
SZ002592,20150526,95000,48.21,48.21,48.3,48.2,56497,2727854,32,0
SZ002592,20150526,95100,48.21,48.21,48.28,48.21,5900,284600,9,0
SZ002592,20150526,95200,48.0,48.2,48.25,48.0,82600,3979962,47,0
SZ002592,20150526,95300,48.03,48.18,48.18,48.0,30600,1470142,32,0
SZ002592,20150526,95400,48.0,48.08,48.17,48.0,87200,4187100,47,0
SZ002592,20150526,95500,47.97,48.0,48.0,47.9,24400,1170457,31,0
SZ002592,20150526,95600,47.87,47.9,47.92,47.87,11300,541170,17,0
SZ002592,20150526,95700,47.77,47.86,47.86,47.77,40900,1956032,39,0
SZ002592,20150526,95800,47.72,47.72,47.77,47.7,22000,1050504,26,0
SZ002592,20150526,95900,47.6,47.72,47.72,47.6,40400,1926524,47,0
SZ002592,20150526,100000,47.33,47.6,47.99,47.32,75000,3577271,63,0
SZ002592,20150526,100100,47.99,47.33,47.99,47.28,55024,2620321,42,0
SZ002592,20150526,100200,47.98,47.99,48.0,47.35,62300,2977975,27,0
SZ002592,20150526,100300,47.39,47.92,47.97,47.39,25178,1199737,23,0
SZ002592,20150526,100400,47.8,47.39,47.97,47.39,37700,1804287,21,0
SZ002592,20150526,100500,47.8,47.8,47.8,47.8,14600,697853,25,0
SZ002592,20150526,100600,47.8,47.8,47.8,47.78,7000,334483,13,0
SZ002592,20150526,100700,47.89,47.8,47.89,47.78,7300,349009,23,0
SZ002592,20150526,100800,47.93,47.9,47.95,47.9,45000,2156706,25,0
SZ002592,20150526,100900,47.95,47.96,47.99,47.92,57400,2753499,25,0
SZ002592,20150526,101000,47.81,47.95,47.95,47.81,32700,1566993,21,0
SZ002592,20150526,101100,47.8,47.99,47.99,47.8,25100,1199930,17,0
SZ002592,20150526,101200,47.89,47.87,47.95,47.87,4100,196495,7,0
SZ002592,20150526,101300,47.95,47.95,47.95,47.87,13400,642390,25,0
SZ002592,20150526,101400,47.99,47.98,48.0,47.95,21800,1046021,23,0
SZ002592,20150526,101500,48.0,47.96,48.0,47.96,49300,2365786,32,0
SZ002592,20150526,101600,48.01,48.0,48.01,47.98,47300,2270287,34,0
SZ002592,20150526,101700,47.97,48.01,48.01,47.97,35200,1689493,23,0
SZ002592,20150526,101800,47.99,48.0,48.0,47.96,9200,441459,13,0
SZ002592,20150526,101900,47.99,47.99,47.99,47.99,1600,76784,4,0
SZ002592,20150526,102000,47.96,47.99,47.99,47.96,30500,1463247,17,0
SZ002592,20150526,102100,47.96,47.97,47.98,47.96,25900,1242600,18,0
SZ002592,20150526,102200,47.95,47.96,47.99,47.95,33300,1597290,18,0
SZ002592,20150526,102300,47.95,47.98,47.98,47.95,36300,1740938,22,0
SZ002592,20150526,102400,47.99,47.95,47.99,47.95,33300,1597701,20,0
SZ002592,20150526,102500,47.95,47.99,47.99,47.95,24700,1185153,22,0
SZ002592,20150526,102600,47.97,47.95,47.97,47.94,8302,398152,12,0
SZ002592,20150526,102700,47.99,47.97,47.99,47.95,34400,1650647,23,0
SZ002592,20150526,102800,47.97,47.99,47.99,47.97,14800,710110,14,0
SZ002592,20150526,102900,47.98,47.97,47.99,47.97,3500,167955,8,0
SZ002592,20150526,103000,47.99,47.98,47.99,47.97,16000,767738,13,0
SZ002592,20150526,103100,47.98,47.97,47.98,47.97,11400,546961,13,0
SZ002592,20150526,103200,47.97,47.98,47.98,47.97,3500,167919,10,0
